"participant" "timestamp" "task"
11 86.878 "listening"
11 90.2444 "listening"
11 91.9609 "listening"
11 92.5441 "listening"
11 93.1274 "listening"
11 97.0105 "listening"
11 104.0099 "listening"
11 106.1265 "listening"
11 108.1262 "listening"
11 113.6425 "listening"
11 118.9421 "listening"
11 120.9586 "listening"
11 123.3417 "listening"
11 125.0415 "listening"
11 126.4415 "listening"
11 127.9913 "listening"
11 129.6578 "listening"
11 131.3577 "listening"
11 133.2743 "listening"
11 134.6741 "listening"
11 138.5071 "listening"
11 142.7402 "listening"
11 145.4233 "listening"
11 148.5397 "listening"
11 149.573 "listening"
11 150.9728 "listening"
11 155.1392 "listening"
11 156.4558 "listening"
11 158.4389 "listening"
11 160.3626 "listening"
11 171.795 "listening"
11 174.9448 "listening"
11 178.0946 "listening"
11 179.7112 "listening"
11 180.1944 "listening"
11 181.6609 "listening"
11 183.5609 "listening"
11 184.7274 "listening"
11 186.0106 "listening"
11 193.9934 "listening"
11 194.5933 "listening"
11 196.0098 "listening"
11 200.5262 "listening"
11 202.476 "listening"
11 204.7591 "listening"
11 205.7924 "listening"
11 207.3756 "listening"
11 210.2253 "listening"
11 211.3753 "listening"
11 212.3085 "listening"
11 214.425 "listening"
11 215.8415 "listening"
11 217.0581 "listening"
11 217.7581 "listening"
11 220.9484 "listening"
11 222.2318 "listening"
11 226.3553 "listening"
11 229.955 "listening"
11 230.7216 "listening"
11 232.3715 "listening"
11 233.8881 "listening"
11 238.0377 "listening"
11 240.7375 "listening"
11 242.6373 "listening"
11 244.3038 "listening"
11 247.2537 "listening"
11 248.0703 "listening"
11 249.2868 "listening"
11 253.877 "listening"
11 254.7436 "listening"
11 255.2935 "listening"
11 255.7935 "listening"
12 0.001 "listening"
12 1.3838 "listening"
12 4.8506 "listening"
12 5.4168 "listening"
12 6.2666 "listening"
12 11.1662 "listening"
12 11.5828 "listening"
12 14.316 "listening"
12 15.7159 "listening"
12 21.0487 "listening"
12 27.1649 "listening"
12 30.3813 "listening"
12 35.4142 "listening"
12 38.5806 "listening"
12 44.0301 "listening"
12 46.3132 "listening"
12 48.8463 "listening"
12 52.7627 "listening"
12 58.1622 "listening"
12 59.7287 "listening"
12 60.762 "listening"
12 62.9951 "listening"
12 65.4115 "listening"
12 65.9115 "listening"
12 72.4776 "listening"
12 74.7107 "listening"
12 75.5107 "listening"
12 80.0436 "listening"
12 84.3432 "listening"
12 86.2765 "listening"
12 90.4928 "listening"
12 91.4427 "listening"
12 91.9925 "listening"
12 93.5091 "listening"
12 95.9589 "listening"
12 96.4756 "listening"
12 97.8587 "listening"
12 101.5251 "listening"
12 109.0077 "listening"
12 112.0576 "listening"
12 114.1907 "listening"
12 115.9405 "listening"
12 118.5903 "listening"
12 122.19 "listening"
12 125.4231 "listening"
12 126.1729 "listening"
12 128.2894 "listening"
12 129.9893 "listening"
12 133.189 "listening"
12 134.4556 "listening"
12 136.2887 "listening"
12 137.2554 "listening"
12 137.8219 "listening"
12 139.0384 "listening"
12 141.2383 "listening"
12 143.1881 "listening"
12 146.5545 "listening"
12 148.6043 "listening"
12 151.3874 "listening"
12 153.9539 "listening"
12 156.1036 "listening"
12 158.0869 "listening"
12 160.1533 "listening"
12 163.0531 "listening"
12 166.2194 "listening"
12 168.7526 "listening"
12 171.3524 "listening"
12 174.3687 "listening"
12 176.7352 "listening"
12 178.2852 "listening"
12 179.635 "listening"
12 181.6182 "listening"
12 183.3346 "listening"
12 184.268 "listening"
12 187.0677 "listening"
12 188.8842 "listening"
12 190.0008 "listening"
12 191.5173 "listening"
12 192.8672 "listening"
12 193.7838 "listening"
12 195.0336 "listening"
12 196.4501 "listening"
12 197.3835 "listening"
12 198.4333 "listening"
12 203.1163 "listening"
12 205.8494 "listening"
12 210.9822 "listening"
12 217.9817 "listening"
12 219.6981 "listening"
12 222.8312 "listening"
12 225.5977 "listening"
12 231.7638 "listening"
12 234.8302 "listening"
12 237.3466 "listening"
12 238.7466 "listening"
12 241.4963 "listening"
12 244.5128 "listening"
12 246.4959 "listening"
12 248.929 "listening"
12 250.1622 "listening"
12 251.3954 "listening"
12 252.0953 "listening"
12 254.2952 "listening"
12 255.3284 "listening"
12 255.695 "listening"
13 1.3921 "listening"
13 23.2746 "listening"
13 26.641 "listening"
13 29.6242 "listening"
13 31.2742 "listening"
13 39.6238 "listening"
13 50.3733 "listening"
13 52.8066 "listening"
13 58.223 "listening"
13 60.173 "listening"
13 61.9728 "listening"
13 63.3728 "listening"
13 70.9724 "listening"
13 79.3721 "listening"
13 85.5551 "listening"
13 110.2207 "listening"
13 113.0873 "listening"
13 119.3537 "listening"
13 127.9866 "listening"
13 130.5865 "listening"
13 139.3862 "listening"
13 143.9692 "listening"
13 147.2858 "listening"
13 152.6189 "listening"
13 160.8019 "listening"
13 170.3515 "listening"
13 173.4346 "listening"
13 175.2512 "listening"
13 181.0843 "listening"
13 183.9842 "listening"
13 188.5006 "listening"
13 190.4339 "listening"
13 192.3172 "listening"
13 196.0003 "listening"
13 200.7335 "listening"
13 204.7333 "listening"
13 207.8497 "listening"
13 211.9663 "listening"
13 214.9661 "listening"
13 217.966 "listening"
13 224.3824 "listening"
13 228.0822 "listening"
13 232.632 "listening"
13 250.1813 "listening"
14 3.4667 "listening"
14 3.8833 "listening"
14 4.1167 "listening"
14 56.5122 "listening"
14 134.9887 "listening"
14 145.1211 "listening"
15 0.4508 "listening"
15 0.834 "listening"
15 1.434 "listening"
15 1.6006 "listening"
15 2.3173 "listening"
15 3.8338 "listening"
15 4.9005 "listening"
15 8.5169 "listening"
15 11.9332 "listening"
15 17.5995 "listening"
15 22.116 "listening"
15 24.0991 "listening"
15 28.3321 "listening"
15 30.2487 "listening"
15 32.4652 "listening"
15 34.865 "listening"
15 38.1648 "listening"
15 40.5813 "listening"
15 45.8643 "listening"
15 47.6141 "listening"
15 50.0473 "listening"
